Product_ID,Product_Name,Category,Subcategory,Price,Units_Sold,Revenue,Cost,Profit,Date,Store/Channel,Customer_ID
SKU47503,Adidas Hoodie,Apparel,Sportswear,1374.11,23,31604.53,15753.89,15850.64,5/4/2024,Online,1000
SKU15932,Panasonic Microwave,Electronics,Appliances,712.28,29,20656.12,9300.54,11355.58,4/1/2025,Mobile App,1001
SKU44826,Dove Body Wash,Beauty,Bath & Body,382.46,90,34421.4,23797.11,10624.29,2/11/2025,Marketplace,1002
SKU94810,HP Laptop,Electronics,Computers,1471.88,76,111862.88,68749.54,43113.34,3/11/2025,Marketplace,1003
SKU97353,Dove Body Wash,Beauty,Bath & Body,86,64,5504,2274.47,3229.53,4/26/2025,Retail Store,1004
SKU65494,Colgate Toothpaste,Beauty,Oral Care,634.27,68,43130.36,20397.72,22732.64,10/4/2024,Online,1005
SKU23832,Nike Running Shoes,Apparel,Sportswear,640.17,82,52493.94,43969.71,8524.23,8/14/2024,Mobile App,1006
SKU37677,Dove Body Wash,Beauty,Bath & Body,1208.2,15,18123,13580.58,4542.42,8/17/2024,Marketplace,1007
SKU17879,Maybelline Lipstick,Beauty,Makeup,153.17,67,10262.39,7248.61,3013.78,3/20/2025,Retail Store,1008
SKU19421,Samsung Smart TV,Electronics,Television,707.99,72,50975.28,40125.03,10850.25,11/2/2024,Retail Store,1009
SKU94940,Maybelline Lipstick,Beauty,Makeup,993.6,1,993.6,596.73,396.87,11/21/2024,Online,1010
SKU15461,Samsung Smart TV,Electronics,Television,126.94,10,1269.4,977.58,291.82,1/27/2025,Online,1011
SKU13213,Samsung Smart TV,Electronics,Television,1315,92,120980,83469.42,37510.58,3/13/2025,Marketplace,1012
SKU13938,Nike Running Shoes,Apparel,Sportswear,386.54,90,34788.6,24645.81,10142.79,2/22/2025,Retail Store,1013
SKU85997,Apple iPhone 14,Electronics,Smartphones,238.26,33,7862.58,6211.48,1651.1,3/27/2025,Online,1014
SKU19570,Nike Running Shoes,Apparel,Sportswear,1109.22,30,33276.6,14011.57,19265.03,9/6/2024,Retail Store,1015
SKU54910,Colgate Toothpaste,Beauty,Oral Care,861.47,45,38766.15,18668.99,20097.16,1/6/2025,Retail Store,1016
SKU76809,HP Laptop,Electronics,Computers,1032.59,27,27879.93,15553.28,12326.65,5/22/2024,Mobile App,1017
SKU21209,Apple iPhone 14,Electronics,Smartphones,1464.73,66,96672.18,62202.03,34470.15,4/16/2025,Online,1018
